Category,Currency,Price,Area(m2),Rooms,Municipality,Province,Date,DOP/USD rate
house,USD,"595,000",743,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"590,000",638,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"5,000,000","7,068",7,,La Romana,2020-11-25,58.15
house,USD,"92,000",142,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"4,000,000","3,723",6,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"136,900",282,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"299,000",245,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"425,000",1,4,Metro Country Club,San Pedro De Macorís,2020-11-25,58.15
house,USD,"560,000",409,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"690,000",710,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"3,700,000",1,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,980,000",1,5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"289,000",408,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"69,000",186,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"110,000",305,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"171,000",265,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"400,000",530,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"5,000,000",190,3,Santo Domingo Norte,Santo Domingo,2020-11-25,58.15
house,USD,"510,000",915,4,Metro Country Club,San Pedro De Macorís,2020-11-25,58.15
house,USD,"299,000",278,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"355,000",408,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"325,000",1,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"450,000",1,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"143,000",1,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"690,000",519,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"130,000",120,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"14,300,000",760,5,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"265,000","10,600",5,Cambita Garabito,San Cristóbal,2020-11-25,58.15
house,DOP,230,120,3,Santo Domingo Norte,Santo Domingo,2020-11-25,58.15
house,USD,"650,000",722,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"171,000",265,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"171,000",265,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"325,000",274,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"119,000",244,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"399,000",317,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"449,000",398,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"495,000",382,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"624,000",483,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"750,000",330,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"850,000","2,100",7,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"90,000",260,3,,La Romana,2020-11-25,58.15
house,DOP,"3,800",7,,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"320,000",457,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"920,000",1,4,Casa De Campo,La Romana,2020-11-25,58.15
house,USD,"154,000",180,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"13,900,000",592,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"420,000",350,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"154,000",180,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"900,000",310,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"390,000",500,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"3,200,000","2,800",5,,La Romana,2020-11-25,58.15
house,USD,"360,000","5,250",4,Boca Chica,Santo Domingo,2020-11-25,58.15
house,USD,"123,800",189,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"113,000",260,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"380,000",600,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"154,000",180,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"154,000",180,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"640,000",790,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"109,000",124,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"336,207",530,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"4,500,000",7,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"190,000",550,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,"5,000,700",304,5,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,DOP,"7,975,000",174,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"7,300,000",170,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"7,000,000",172,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"120,000",350,7,Jarabacoa,La Vega,2020-11-25,58.15
house,DOP,"3,550,000",186,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
