Category,Currency,Price,Area(m2),Rooms,Municipality,Province,Date,DOP/USD rate
house,USD,540000.0,678.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,201030.0,192.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,450000.0,326.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,495000.0,557.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,200000.0,3000.0,2.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,126000.0,160.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,201030.0,192.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,450000.0,698.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,455000.0,325.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,480000.0,326.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,420000.0,551.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,375000.0,408.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,350000.0,440.0,5.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,201030.0,192.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,201030.0,192.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,580.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,500000.0,470.3333333333333,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,3690000.0,360.66666666666663,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,425000.0,251.0,2.0,Las Terrenas,Samaná,2020-11-25,58.15
house,USD,10000000.0,258.0,6.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,295000.0,265.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,13500000.0,689.5,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,6800000.0,1114.0,7.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1300000.0,621.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,98100.0,128.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,160000.0,200.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,575000.0,402.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,17000000.0,413.0,4.0,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,DOP,118300.0,160.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,87000.0,120.0,3.0,,La Romana,2020-11-25,58.15
house,DOP,10500000.0,280.0,4.0,Concepción De La Vega,La Vega,2020-11-25,58.15
house,DOP,11100000.0,417.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,890000.0,635.0,5.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,113190.0,151.0,2.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,9300000.0,226.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,675000.0,1100.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,500000.0,1100.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,5900000.0,1120.0,7.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,129500.0,224.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,645000.0,482.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,595000.0,743.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,590000.0,638.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,5000000.0,7068.0,7.0,,La Romana,2020-11-25,58.15
house,USD,92000.0,142.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,4000000.0,3723.0,6.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,136900.0,282.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,299000.0,245.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,425000.0,327.0,4.0,Metro Country Club,San Pedro De Macorís,2020-11-25,58.15
house,USD,560000.0,409.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,690000.0,710.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,3700000.0,609.3333333333334,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1980000.0,508.66666666666663,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,289000.0,408.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,69000.0,186.0,2.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,110000.0,305.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,171000.0,265.0,4.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,400000.0,530.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,5000000.0,190.0,3.0,Santo Domingo Norte,Santo Domingo,2020-11-25,58.15
house,USD,510000.0,915.0,4.0,Metro Country Club,San Pedro De Macorís,2020-11-25,58.15
house,USD,299000.0,278.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,355000.0,408.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,325000.0,435.75,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,450000.0,463.5,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,143000.0,491.25,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,690000.0,519.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,130000.0,120.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,14300000.0,760.0,5.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,265000.0,10600.0,5.0,Cambita Garabito,San Cristóbal,2020-11-25,58.15
house,DOP,457500.0,120.0,3.0,Santo Domingo Norte,Santo Domingo,2020-11-25,58.15
house,USD,650000.0,722.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,171000.0,265.0,4.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,171000.0,265.0,4.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,325000.0,274.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,119000.0,244.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,399000.0,317.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,449000.0,398.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,495000.0,382.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,624000.0,483.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,750000.0,330.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,850000.0,2100.0,7.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,90000.0,260.0,3.0,,La Romana,2020-11-25,58.15
house,DOP,3800.0,358.5,,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,320000.0,457.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,920000.0,318.5,4.0,Casa De Campo,La Romana,2020-11-25,58.15
house,USD,154000.0,180.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,13900000.0,592.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,420000.0,350.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,154000.0,180.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,900000.0,310.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,390000.0,500.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,3200000.0,2800.0,5.0,,La Romana,2020-11-25,58.15
house,USD,360000.0,5250.0,4.0,Boca Chica,Santo Domingo,2020-11-25,58.15
house,USD,123800.0,189.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,113000.0,260.0,2.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,380000.0,600.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,154000.0,180.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,154000.0,180.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,640000.0,790.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,109000.0,124.0,2.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,336207.0,530.0,4.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,4500000.0,540.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,190000.0,550.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,5000700.0,304.0,5.0,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,DOP,7975000.0,174.0,4.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,7300000.0,170.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,7000000.0,172.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,120000.0,350.0,7.0,Jarabacoa,La Vega,2020-11-25,58.15
house,DOP,3550000.0,186.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,215500.0,321.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,5400000.0,155.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,5700000.0,165.0,3.0,San Felipe De Puerto Plata,Puerto Plata,2020-11-25,58.15
house,DOP,5800000.0,175.0,4.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,11000000.0,250.0,4.0,Concepción De La Vega,La Vega,2020-11-25,58.15
house,DOP,5400000.0,160.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,8500000.0,312.0,6.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,115000.0,160.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,6000000.0,301.66666666666663,3.0,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,USD,180000.0,443.3333333333333,4.0,San Cristóbal Sn,San Cristóbal,2020-11-25,58.15
house,USD,450000.0,585.0,5.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,10500000.0,225.0,4.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,6500000.0,180.0,3.0,Concepción De La Vega,La Vega,2020-11-25,58.15
house,DOP,4600000.0,162.5,3.0,San Cristóbal Sn,San Cristóbal,2020-11-25,58.15
house,USD,145000.0,145.0,2.0,Jarabacoa,La Vega,2020-11-25,58.15
house,DOP,13162500.0,200.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,5500000.0,175.0,2.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
